Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,1.0,0.0,0.0,0.0,0.0,83.0,1084.0,0.1,66.0,0.0,0.0,139.6658821105957,,,,,,,,,317.00818,484.90598,1156.8162,26.601871,,,,,3028.9194,5602.774,25981.02,124.994194,6.041693083352076,1.9789576872450545,8.114458189956585,0.5,2.1636624,0.0,2.1636624,2.1636624,3.932893371365868e-16,0.9999999994257702,5.0380859482596465,-2.1950706436230614,83.94332,23.895473,100.642456,-11.137756,317.06006,484.8837,1156.8296,26.677862,-0.030198717,0.02515589,0.008329877,-0.054352686,24.4317529829502,9.156829942333381,32.44802498234258,0.5,0.035903256,0.0,0.035903256,0.035903256,0.9259113,0.20880166,2.4890807,0.14005286,0.9501305,0.12311884,1.2,0.8
19,1.0,0.0,0.0,82.0,1.0,82.0,1166.0,0.1,69.0,0.0,0.0,182.72516202926636,,,,,,,,,,,,,,,,,,,,,6.5159827065146505,2.2676498946524473,8.324605730425764,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,0.0,0.0,148.0,2.0,66.0,1232.0,0.1,51.0,0.0,0.0,189.1110064983368,,,,,,,,,,,,,,,,,,,,,5.814729158745753,2.0622444732885716,8.19769567194946,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,206.0,3.0,58.0,1290.0,0.1,46.0,0.0,0.0,194.55985140800476,,,,,,,,,,,,,,,,,,,,,5.734194703496888,2.1670294762089237,7.891243765951896,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,257.0,4.0,51.0,1341.0,0.1,33.5,0.0,0.0,199.44493651390076,,,,,,,,,,,,,,,,,,,,,4.558410308344665,1.7100395916510898,7.234670600375321,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,305.0,5.0,48.0,1389.0,0.1,37.0,0.0,0.0,204.46057558059692,,,,,,,,,,,,,,,,,,,,,5.3229955194307275,2.383816683753893,8.18639696291194,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,346.0,6.0,41.0,1430.0,0.1,29.5,0.0,0.0,208.661376953125,,,,,,,,,,,,,,,,,,,,,4.792530059202758,2.0269233284169133,7.645599313949414,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,370.0,7.0,24.0,1454.0,0.1,15.5,0.0,0.0,211.31810903549194,,,,,,,,,,,,,,,,,,,,,3.6033468428362947,1.7506471719786476,6.614619179534443,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,473.0,8.0,103.0,1557.0,0.1,80.0,0.0,0.0,220.76845121383667,,,,,,,,,,,,,,,,,,,,,6.005303033707797,1.8327909292567097,8.19898960691377,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,520.0,9.0,47.0,1604.0,0.1,33.5,0.0,0.0,225.3168489933014,,,,,,,,,,,,,,,,,,,,,4.95514553626974,2.0147181265328427,7.56773416491243,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,626.0,10.0,106.0,1710.0,0.1,81.5,0.0,0.0,235.20673871040344,,,,,,,,,,,,,,,,,,,,,5.953230729915394,1.6481010803862548,8.035565291276344,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,674.0,11.0,48.0,1758.0,0.1,32.5,0.0,0.0,239.84360527992249,,,,,,,,,,,,,,,,,,,,,4.6452508384423785,1.7569443777029425,7.416522689271565,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,735.0,12.0,61.0,1819.0,0.1,44.0,0.0,0.0,245.62232303619385,,,,,,,,,,,,,,,,,,,,,5.195255996600722,2.036482479068731,8.09676117034275,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,802.0,13.0,67.0,1886.0,0.1,49.0,0.0,0.0,251.84519910812378,,,,,,,,,,,,,,,,,,,,,5.4436197008247325,1.8372013676356327,7.89402279852151,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,877.0,14.0,75.0,1961.0,0.1,51.0,0.0,0.0,258.91512799263,,,,,,,,,,,,,,,,,,,,,5.004094316440934,1.547646162725642,7.700350144668886,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,920.0,15.0,43.0,2004.0,0.1,28.0,0.0,0.0,263.40047097206116,,,,,,,,,,,,,,,,,,,,,4.34970455968821,1.7472427491346518,7.173972716953558,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,949.0,16.0,29.0,2033.0,0.1,19.5,0.0,0.0,266.34605073928833,,,,,,,,,,,,,,,,,,,,,4.0100895113328,1.9189108087009612,7.160238249692481,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,973.0,17.0,24.0,2057.0,0.1,16.0,0.0,0.0,268.92769622802734,,,,,,,,,,,,,,,,,,,,,3.728607090056885,1.857213933359168,6.794436441937207,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2.0,0.0,0.0,0.0,0.0,118.0,2175.0,0.1,94.0,0.0,0.0,319.79562497138977,,,,,,,,,44.171986,58.520054,145.2224,5.504711,,,,,638.7343,740.92755,2428.853,38.0588,6.2266242717815965,1.9159221118255922,8.229074370612908,0.5,2.1550736,0.0,2.1550736,2.1550736,-1.563063763358607e-16,0.9999999980672629,5.163489422694127,-1.692529413922207,23.513132,7.643868,32.719788,-1.02318,44.258434,58.478455,145.23827,5.6317863,-0.06485923,0.042748082,0.0057621957,-0.10552504,9.787530764685345,3.753463449937491,14.64618868823306,0.5,0.05029978,0.0,0.05029978,0.05029978,0.9374952,0.2875134,3.9940565,0.09044566,0.9601493,0.13438544,1.2,0.8
37,2.0,0.0,0.0,96.0,1.0,96.0,2271.0,0.1,79.0,0.0,0.0,348.8089690208435,,,,,,,,,,,,,,,,,,,,,6.31287539101173,1.9616554645420259,8.103919803131285,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2.0,0.0,0.0,180.0,2.0,84.0,2355.0,0.1,59.5,0.0,0.0,356.5636909008026,,,,,,,,,,,,,,,,,,,,,5.40884973554134,1.7572065448062995,7.869588305702659,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2.0,0.0,0.0,338.0,3.0,158.0,2513.0,0.1,125.5,0.0,0.0,370.9266231060028,,,,,,,,,,,,,,,,,,,,,6.377510176353606,1.5840722007997634,8.205246744943436,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2.0,0.0,0.0,406.0,4.0,68.0,2581.0,0.1,48.0,0.0,0.0,377.2683708667755,,,,,,,,,,,,,,,,,,,,,5.1393374161991945,1.8369003411497293,7.82929582104155,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,552.0,5.0,146.0,2727.0,0.1,115.5,0.0,0.0,390.38607573509216,,,,,,,,,,,,,,,,,,,,,6.240945068914826,1.6999093553995264,8.251220753103208,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,590.0,6.0,38.0,2765.0,0.1,27.0,0.0,0.0,394.0906126499176,,,,,,,,,,,,,,,,,,,,,4.674327898448674,1.9560985189615014,7.3412510112009866,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,748.0,7.0,158.0,2923.0,0.1,106.5,0.0,0.0,408.5243818759918,,,,,,,,,,,,,,,,,,,,,5.317593824005779,1.3804172416570069,8.022698314654955,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,777.0,8.0,29.0,2952.0,0.1,18.5,0.0,0.0,411.8514070510864,,,,,,,,,,,,,,,,,,,,,3.8119318482392943,1.7144084774163424,6.759397169585817,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,811.0,9.0,34.0,2986.0,0.1,21.0,0.0,0.0,415.3257405757904,,,,,,,,,,,,,,,,,,,,,3.8272881552170523,1.6467449480969494,6.953337198753132,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,841.0,10.0,30.0,3016.0,0.1,18.5,0.0,0.0,418.3326370716095,,,,,,,,,,,,,,,,,,,,,3.7065469583357573,1.6079678536756976,6.658614346579642,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,888.0,11.0,47.0,3063.0,0.1,32.0,0.0,0.0,422.85658025741577,,,,,,,,,,,,,,,,,,,,,4.715797661010937,1.8359227293901534,7.209884140379107,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,920.0,12.0,32.0,3095.0,0.1,23.0,0.0,0.0,426.2651858329773,,,,,,,,,,,,,,,,,,,,,4.5328911024013525,1.9722688548060812,7.223267260819744,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,999.0,13.0,79.0,3174.0,0.1,48.5,0.0,0.0,433.52521228790283,,,,,,,,,,,,,,,,,,,,,4.605491315034138,1.3158361153348421,6.464261082663218,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,1056.0,14.0,57.0,3231.0,0.1,38.0,0.0,0.0,439.06069898605347,,,,,,,,,,,,,,,,,,,,,4.740027595883063,1.648515864835308,7.442237412275198,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,1115.0,15.0,59.0,3290.0,0.1,42.5,0.0,0.0,444.6312310695648,,,,,,,,,,,,,,,,,,,,,5.226628024977684,1.6056660286920885,7.409406233877076,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1190.0,16.0,75.0,3365.0,0.1,57.5,0.0,0.0,451.7035310268402,,,,,,,,,,,,,,,,,,,,,5.747367130243587,1.844161535113298,8.041576233012576,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1319.0,17.0,129.0,3494.0,0.1,102.5,0.0,0.0,463.5331196784973,,,,,,,,,,,,,,,,,,,,,6.216459039338672,1.750430674445397,8.223629427105891,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3.0,0.0,0.0,0.0,0.0,61.0,3555.0,0.1,43.5,0.0,0.0,518.2203803062439,,,,,,,,,3.184435,2.200682,6.971879,1.6442792,,,,,96.28644,116.4792,491.0612,11.383982,5.1846828188080245,1.7484178066853453,7.164413437920027,0.5,2.1434147,0.0,2.1434147,2.1434147,-4.1190883232469576e-16,0.9999999952066937,6.473633803815081,-2.5674043693997133,10.049514,3.3299162,15.488981,-4.3817854,3.2760463,2.1584144,6.992056,1.7742295,-0.07012497,0.042872943,0.0013478313,-0.10851593,6.612788595504073,2.2360217966166003,10.089847619753108,0.5,0.0567762,0.0,0.0567762,0.0567762,0.99210864,0.42580235,11.199694,0.073814206,0.9800803,0.14342798,1.2,0.8
